index,job_title,minimum_salary,maximum_salary,rating,company_name,location,headquarters,size,founded,company_age,type_of_ownership,industry,sector,revenue
140,Data Integration and Modeling Engineer,90000,109000,3.8,ISO New England,"Holyoke, MA","Holyoke, MA",501 to 1000 employees,1997,27,Nonprofit Organization,Utilities,"Oil, Gas, Energy & Utilities",$10 to $25 million (USD)
141,Tableau Data Engineer 20-0117,90000,109000,3.7,Relativity,"Chicago, IL","Chicago, IL",1001 to 5000 employees,2001,23,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD)
142,Senior Data Scientist,90000,109000,3.3,Tempo Automation,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2013,11,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$10 to $25 million (USD)
143,AI Data Scientist,90000,109000,3.3,MITRE,"McLean, VA","Bedford, MA",5001 to 10000 employees,1958,66,Nonprofit Organization,Federal Agencies,Government,Unknown / Non-Applicable
144,Machine Learning Engineer,90000,109000,5.0,"Expedition Technology, Inc.","Herndon, VA","Dulles, VA",1 to 50 employees,2013,11,Company - Private,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
145,Research Scientist Patient Preferences (Remote),90000,109000,3.8,Evidera,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,11,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD)
146,Data Scientist,90000,109000,3.4,Plymouth Rock Assurance,"Woodbridge, NJ","Boston, MA",1001 to 5000 employees,1982,42,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
147,Scientist - Biomarker and Flow Cytometry,90000,109000,2.4,Crown Bioscience,"San Diego, CA","San Diego, CA",501 to 1000 employees,2006,18,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
148,Data Scientist,90000,109000,2.9,GNS Healthcare,"Cambridge, MA","Cambridge, MA",51 to 200 employees,2000,24,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,
149,Analytics Manager,90000,109000,4.4,OneMagnify,"Dearborn, MI","Detroit, MI",201 to 500 employees,1967,57,Company - Private,Advertising & Marketing,Business Services,$2 to $5 billion (USD)
150,Data Scientist,90000,109000,2.9,SPECTRUM,"Maryland Heights, MO","Stamford, CT",10000+ employees,2016,8,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$100 to $500 million (USD)
151,Staff Scientist- Upstream PD,90000,109000,2.7,Advanced BioScience Laboratories,"Rockville, MD","Rockville, MD",201 to 500 employees,1961,63,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
152,Data Engineer,90000,109000,4.2,Procore Technologies,"Carpinteria, CA","Carpinteria, CA",1001 to 5000 employees,2002,22,Company - Private,Computer Hardware & Software,Information Technology,
153,Sr Scientist - Extractables & Leachables,90000,109000,3.5,Ritedose,"Columbia, SC","Columbia, SC",201 to 500 employees,1995,29,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
154,ELISA RESEARCH SCIENTIST (CV-15),90000,109000,1.0,Covid-19 Search Partners,"Hauppauge, NY",,,0,0,,,,$100 to $500 million (USD)
155,Sr Data Scientist,90000,109000,4.2,bioMÃ©rieux,"Saint Louis, MO","Marcy-l'Etoile, France",10000+ employees,1963,61,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
156,Data Scientist,101000,165000,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,12,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD)
157,Experienced Data Scientist,101000,165000,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC","Mays Landing, NJ",1 to 50 employees,1997,27,Company - Private,Federal Agencies,Government,$25 to $50 million (USD)
158,Machine Learning Engineer,101000,165000,1.0,Radical Convergence,"Reston, VA",,,0,0,,,,$10+ billion (USD)
159,Data Scientist,101000,165000,3.5,Leidos,"Fort Meade, MD","Reston, VA",10000+ employees,1969,55,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
160,Data Scientist,101000,165000,4.5,Demandbase,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2006,18,Company - Private,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD)
161,Say Business Data Analyst,101000,165000,4.1,Shelter Insurance,"Columbia, MO","Columbia, MO",1001 to 5000 employees,1946,78,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD)
162,Geospatial Data Scientist,101000,165000,3.5,Maxar Technologies,"Chantilly, VA","Westminster, CO",5001 to 10000 employees,0,0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
163,Data Analyst,101000,165000,2.7,USAC,"Washington, DC","Washington, DC",501 to 1000 employees,1997,27,Nonprofit Organization,Telecommunications Services,Telecommunications,$100 to $500 million (USD)
164,Computational Scientist,101000,165000,3.4,General Dynamics Information Technology,"Vicksburg, MS","Fairfax, VA",10000+ employees,1996,28,Subsidiary or Business Segment,IT Services,Information Technology,$5 to $10 billion (USD)
165,Data Scientist,101000,165000,4.4,Offerpad,"Chandler, AZ","Chandler, AZ",201 to 500 employees,2015,9,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
166,Senior Data Analyst,101000,165000,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,42,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
167,Senior Data Analyst,101000,165000,4.2,Autodesk,"San Francisco, CA","Herndon, VA",5001 to 10000 employees,1968,56,Company - Public,Research & Development,Business Services,Unknown / Non-Applicable
168,Data Engineer,101000,165000,3.5,Magna International Inc.,"Birmingham, AL","Aurora, Canada",10000+ employees,1957,67,Company - Public,,,$1 to $2 billion (USD)
169,Sr Data Analyst,101000,165000,2.3,United BioSource,"Blue Bell, PA","Blue Bell, PA",1001 to 5000 employees,2003,21,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
170,Data Scientist,101000,165000,3.4,Kelly,"Chicago, IL","Troy, MI",5001 to 10000 employees,1946,78,Company - Public,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
171,"Machine Learning Scientist - Bay Area, CA",101000,165000,3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,9,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$500 million to $1 billion (USD)
172,Data Scientist,101000,165000,4.7,C3.ai,"Redwood City, CA","Redwood City, CA",201 to 500 employees,2009,15,Company - Private,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
173,Senior Data Scientist - Algorithms,101000,165000,3.9,Quartet Health,"New York, NY","New York, NY",201 to 500 employees,2014,10,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD)
174,Data Analyst,101000,165000,3.3,Midland Credit Management,"San Diego, CA","San Diego, CA",1001 to 5000 employees,1953,71,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$100 to $500 million (USD)
175,Senior Data & Machine Learning Scientist,101000,165000,3.3,Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015,9,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD)
176,Data Engineer,101000,165000,4.4,Resurgent Capital Services,"Cincinnati, OH","Greenville, SC",201 to 500 employees,1998,26,Company - Private,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD)
177,"Data Scientist - Statistics, Early Career",56000,97000,3.7,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,59,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
178,Data Scientist,56000,97000,3.5,Buckman,"Memphis, TN","Memphis, TN",1001 to 5000 employees,1945,79,Company - Private,Chemical Manufacturing,Manufacturing,Unknown / Non-Applicable
179,Machine Learning Engineer,56000,97000,3.6,Buckman,"Memphis, TN","Arlington, VA",501 to 1000 employees,1967,57,Nonprofit Organization,Federal Agencies,Government,$10+ billion (USD)
180,Research Scientist - Patient-Centered Research (Remote),56000,97000,3.8,Evidera,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,11,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
181,Jr. Business Data Analyst (position added 6/12/2020),56000,97000,4.7,webfx.com,"Harrisburg, PA","Harrisburg, PA",201 to 500 employees,1997,27,Company - Private,Advertising & Marketing,Business Services,$10+ billion (USD)
182,Sr. Data Scientist II,56000,97000,3.5,Argo Group US,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,1948,76,Company - Public,Insurance Carriers,Insurance,$50 to $100 million (USD)
183,Data Scientist,56000,97000,3.3,BWX Technologies,"Oak Ridge, TN","Lynchburg, VA",5001 to 10000 employees,1850,174,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
184,Senior Data Analyst,56000,97000,3.9,Life360,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,16,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
185,Lead Data Scientist,56000,97000,3.7,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,173,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
186,Production Engineer - Statistics/Data Analysis,56000,97000,3.9,Natera,"San Carlos, CA","San Carlos, CA",501 to 1000 employees,2004,20,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
187,Statistical Scientist,56000,97000,4.0,Genentech,"South San Francisco, CA","South San Francisco, CA",10000+ employees,1976,48,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
188,Computational Behavioral Scientist,56000,97000,4.2,Ntrepid,"Herndon, VA","Herndon, VA",201 to 500 employees,2010,14,Company - Private,IT Services,Information Technology,$10+ billion (USD)
189,Principal Data Scientist - Machine Learning,56000,97000,3.6,Constant Contact,"Waltham, MA","Waltham, MA",,1995,29,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable
190,Principal Machine Learning Scientist,56000,97000,4.7,Sage Intacct,"San Francisco, CA","San Jose, CA",501 to 1000 employees,1999,25,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
191,Data Engineer,56000,97000,4.1,Shape Security,"Santa Clara, CA","Mountain View, CA",51 to 200 employees,2011,13,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
192,Principal Data Scientist,56000,97000,4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,111,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
193,Data Scientist,56000,97000,5.0,SkillSoniq,"San Francisco, CA","Jersey City, NJ",,0,0,Company - Public,,,$10 to $25 million (USD)
194,Senior Data Scientist - R&D Oncology,56000,97000,4.0,AstraZeneca,"New York, NY","Cambridge, United Kingdom",10000+ employees,1913,111,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD)
195,Data Scientist,56000,97000,4.3,Joby Aviation,"San Carlos, CA","Santa Cruz, CA",51 to 200 employees,0,0,Company - Private,,,$100 to $500 million (USD)
196,"Health Plan Data Analyst, Sr",56000,97000,3.8,Cook Children's Health Care System,"Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1918,106,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
197,"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",56000,97000,3.8,Rubius Therapeutics,"Smithfield, RI","Cambridge, MA",201 to 500 employees,2013,11,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
198,Analytics - Business Assurance Data Analyst,56000,97000,4.6,GreatAmerica Financial Services,"Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,32,Company - Private,Lending,Finance,$1 to $2 billion (USD)
199,Data Scientist - Contract,79000,106000,4.1,Upside Business Travel,Remote,"Washington, DC",51 to 200 employees,2015,9,Company - Private,Internet,Information Technology,$100 to $500 million (USD)
200,Data Scientist,79000,106000,3.4,Spectrum Communications and Consulting,"Chicago, IL","Chicago, IL",51 to 200 employees,1992,32,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD)
201,Data Scientist,79000,106000,4.1,Coverent,"McLean, VA","McLean, VA",51 to 200 employees,2008,16,Company - Private,Consulting,Business Services,$50 to $100 million (USD)
202,Machine Learning Engineer,79000,106000,3.7,Mteq,"Fort Belvoir, VA","Lorton, VA",501 to 1000 employees,1954,70,Company - Public,Aerospace & Defense,Aerospace & Defense,$1 to $5 million (USD)
203,Data Engineer,79000,106000,4.4,Rocket Lawyer,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,16,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
204,"Senior Data Scientist â€“ Image Analytics, Novartis AI Innovation Lab",79000,106000,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,28,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
205,Data Engineer,79000,106000,3.6,Alion Science & Technology,"Linthicum Heights, MD","Mc Lean, VA",1001 to 5000 employees,2001,23,Company - Private,Research & Development,Business Services,$1 to $5 million (USD)
206,Data Science Instructor,79000,106000,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,12,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
207,Senior Business Intelligence Analyst,79000,106000,3.7,Protolabs,"Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,25,Company - Public,Miscellaneous Manufacturing,Manufacturing,$500 million to $1 billion (USD)
208,In-Line Inspection Data Analyst,79000,106000,2.9,Quest Integrity,"Tulsa, OK","Kent, WA",201 to 500 employees,1996,28,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
209,Data Scientist - TS/SCI FSP or CI Required,79000,106000,5.0,Phoenix Operations Group,"Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,13,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
210,Data Scientist,79000,106000,3.4,Dice.com,"Newton, MA","Denver, CO",201 to 500 employees,1990,34,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD)
211,Senior Data Scientist,79000,106000,3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,0,0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
212,Data Scientist - TS/SCI Required,79000,106000,5.0,Phoenix Operations Group,"Baltimore, MD","Woodbine, MD",1 to 50 employees,2011,13,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
213,Data Science Software Engineer,79000,106000,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,12,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
214,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,79000,106000,3.9,Southwest Research Institute,"Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,1947,77,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD)
215,AI Ops Data Scientist,79000,106000,4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,111,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
216,"Intelligence Data Analyst, Senior",79000,106000,4.3,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",501 to 1000 employees,2010,14,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
217,Analytics Manager - Data Mart,79000,106000,3.5,Central California Alliance for Health,"Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,1996,28,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
218,Data Modeler (Analytical Systems),79000,106000,3.7,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,173,Company - Private,Insurance Carriers,Insurance,$5 to $10 million (USD)
219,"Senior Machine Learning Scientist - Bay Area, CA",79000,106000,3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,9,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD)
220,Report Writer-Data Analyst,79000,106000,3.1,Security Finance Corporation of Spartanburg,"Spartanburg, SC","Spartanburg, SC",1001 to 5000 employees,1955,69,Company - Private,Lending,Finance,Unknown / Non-Applicable
221,Data Scientist/Machine Learning,71000,123000,4.3,PulsePoint,"New York, NY","New York, NY",51 to 200 employees,2011,13,Company - Private,Internet,Information Technology,$50 to $100 million (USD)
222,Data Scientist - Risk,71000,123000,4.2,LSQ,"Orlando, FL","Orlando, FL",51 to 200 employees,1996,28,Company - Private,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD)
223,Data Engineer,71000,123000,4.4,Resurgent Capital Services,"Cincinnati, OH","Greenville, SC",201 to 500 employees,1998,26,Company - Private,Venture Capital & Private Equity,Finance,$5 to $10 million (USD)
224,Staff Data Scientist - Pricing,71000,123000,3.6,Opendoor,"San Francisco, CA","San Francisco, CA",501 to 1000 employees,2014,10,Company - Private,Real Estate,Real Estate,$100 to $500 million (USD)
225,Data Scientist,71000,123000,4.5,Global Data Management Inc,"Hartford, CT","Woodbridge, NJ",51 to 200 employees,2008,16,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD)
226,Data Scientist,71000,123000,3.0,Photon Infotech,"Chicago, IL","Chennai, India",1001 to 5000 employees,1999,25,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
227,Data Scientist,71000,123000,5.0,REE,United States,"Tel Aviv-Yafo, Israel",51 to 200 employees,2018,6,Company - Private,Transportation Equipment Manufacturing,Manufacturing,$1 to $2 billion (USD)
228,Machine Learning Engineer,71000,123000,3.6,Riverside Research Institute,"Beavercreek, OH","Arlington, VA",501 to 1000 employees,1967,57,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD)
229,Equity Data Insights Analyst - Quantitative Analyst,71000,123000,3.6,T. Rowe Price,"Baltimore, MD","Baltimore, MD",5001 to 10000 employees,1937,87,Company - Public,Investment Banking & Asset Management,Finance,Less than $1 million (USD)
230,Data Scientist,71000,123000,1.0,"Encode, Inc.","Norfolk, VA","Manalapan, NJ",1 to 50 employees,0,0,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
231,Research Scientist - Patient-Centered Research (Remote),71000,123000,3.8,Evidera,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,11,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
232,Data Scientist,71000,123000,3.3,BWX Technologies,"Oak Ridge, TN","Lynchburg, VA",5001 to 10000 employees,1850,174,Company - Public,Aerospace & Defense,Aerospace & Defense,$25 to $50 million (USD)
233,Operations Data Analyst,71000,123000,3.8,Brighthouse Financial,"Charlotte, NC","Charlotte, NC",1001 to 5000 employees,2017,7,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD)
234,Sr. Data Scientist II,71000,123000,3.5,Argo Group US,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,1948,76,Company - Public,Insurance Carriers,Insurance,$50 to $100 million (USD)
235,Data Scientist,71000,123000,3.3,II-VI Incorporated,"Champaign, IL","Saxonburg, PA",10000+ employees,1971,53,Company - Public,Telecommunications Manufacturing,Telecommunications,$10 to $25 million (USD)
236,Data Scientist,71000,123000,4.6,Surya Systems,"San Francisco, CA","Bristol, PA",1 to 50 employees,0,0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
237,Data Scientist,71000,123000,3.8,PayPal,Texas,"San Jose, CA",10000+ employees,1998,26,Company - Public,Internet,Information Technology,$10+ billion (USD)
238,Senior Data Analyst,71000,123000,3.9,Life360,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,16,Company - Public,Internet,Information Technology,$10+ billion (USD)
239,Data Scientist,71000,123000,3.9,Predictive Research Inc,"Plano, TX","Bangalore, India",1 to 50 employees,0,0,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
240,Data Scientist,90000,124000,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,21,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD)
241,Senior Research Statistician- Data Scientist,90000,124000,4.8,Acuity Insurance,"Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925,99,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD)
242,Software Data Engineer,90000,124000,3.1,1010data,"New York, NY","New York, NY",201 to 500 employees,2000,24,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD)
243,Data Scientist,90000,124000,3.6,Gigya,"Palo Alto, CA","Mountain View, CA",201 to 500 employees,2006,18,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
244,Real World Evidence (RWE) Scientist,90000,124000,5.0,Genesis Research,"Hoboken, NJ","Hoboken, NJ",1 to 50 employees,2009,15,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
245,Data Scientist,90000,124000,3.7,Sanofi,"Cambridge, MA","Paris, France",10000+ employees,1973,51,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
246,Data Scientist,90000,124000,3.7,XPO Logistics,"Lebanon, IN","Greenwich, CT",10000+ employees,2011,13,Company - Public,Transportation Management,Transportation & Logistics,$50 to $100 million (USD)
247,Data Scientist,90000,124000,3.9,Trace Data,"Oakland, CA","Santa Ana, CA",51 to 200 employees,2000,24,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
248,Data Scientist,90000,124000,4.3,Descript,"San Francisco, CA","Houston, TX",1 to 50 employees,0,0,Company - Private,,,$5 to $10 billion (USD)
249,Computer Scientist 1,90000,124000,4.2,Rincon Research Corporation,"Melbourne, FL","Tucson, AZ",201 to 500 employees,1983,41,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD)
250,Lead Data Scientist,90000,124000,3.7,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,173,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
251,Data Scientist,90000,124000,4.0,Better Hire,"Birmingham, AL","Birmingham, AL",1 to 50 employees,0,0,Company - Private,,,Unknown / Non-Applicable
252,Data Scientist,90000,124000,3.3,Parker Hannifin,"Cleveland, OH","Cleveland, OH",10000+ employees,1917,107,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable
253,Data Scientist,90000,124000,4.1,Gallup,"New York, NY","Washington, DC",1001 to 5000 employees,1935,89,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
254,Data Scientist,90000,124000,3.3,Insider Inc,"New York, NY","New York, NY",201 to 500 employees,2007,17,Company - Private,News Outlet,Media,Unknown / Non-Applicable
255,Data Scientist,90000,124000,3.9,Rapid Value Solutions,"San Francisco, CA","Pleasanton, CA",201 to 500 employees,2009,15,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD)
256,Environmental Data Science,90000,124000,3.1,Battelle,"Norwell, MA","Columbus, OH",10000+ employees,1929,95,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD)
257,Computational Behavioral Scientist,90000,124000,4.2,Ntrepid,"Herndon, VA","Herndon, VA",201 to 500 employees,2010,14,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
258,Data Scientist,90000,124000,5.0,"The Drive Media, Inc.","New York, NY",,,0,0,,,,$100 to $500 million (USD)
259,Staff BI and Data Engineer,90000,124000,2.9,Affinity Solutions,"San Jose, CA","New York, NY",51 to 200 employees,1998,26,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD)
260,Principal Machine Learning Scientist,90000,124000,4.7,Sage Intacct,"San Francisco, CA","San Jose, CA",501 to 1000 employees,1999,25,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$10+ billion (USD)
261,Principal Data Scientist - Machine Learning,90000,124000,3.6,Constant Contact,"Waltham, MA","Waltham, MA",,1995,29,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable
262,Data Scientist-Human Resources,91000,150000,3.8,MIT Lincoln Laboratory,"Lexington, MA","Lexington, MA",1001 to 5000 employees,1951,73,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
263,Associate Data Scientist,91000,150000,3.3,Puget Sound Energy,"Bothell, WA","Bellevue, WA",1001 to 5000 employees,1999,25,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD)
264,"Data Scientist - Statistics, Mid-Career",91000,150000,3.7,Pacific Northwest National Laboratory,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,59,Government,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
265,Director of Data Science,91000,150000,3.8,Analysis Group,"Boston, MA","Boston, MA",1001 to 5000 employees,1981,43,Private Practice / Firm,Consulting,Business Services,$10 to $25 million (USD)
266,Data Scientist,91000,150000,3.2,US Pharmacopeia,"Rockville, MD","Rockville, MD",1001 to 5000 employees,1820,204,Nonprofit Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
267,Data Scientist,91000,150000,4.6,Itlize Global,"Piscataway, NJ","Piscataway, NJ",201 to 500 employees,2010,14,Company - Private,IT Services,Information Technology,$1 to $2 billion (USD)
268,Data Scientist,91000,150000,3.5,eBay,"San Jose, CA","San Jose, CA",10000+ employees,1995,29,Company - Public,Internet,Information Technology,$1 to $2 billion (USD)
269,"Data Engineer, Digital & Comp Pathology",91000,150000,5.0,Paige,"New York, NY","New York, NY",1 to 50 employees,2018,6,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
270,Data Engineer,91000,150000,4.1,Shape Security,"Santa Clara, CA","Mountain View, CA",51 to 200 employees,2011,13,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
271,"Manager / Lead, Data Science & Analytics",91000,150000,4.1,ABIOMED,"Danvers, MA","Danvers, MA",1001 to 5000 employees,1981,43,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
272,Data Scientist,91000,150000,3.5,Comcast,"New York, NY","Philadelphia, PA",10000+ employees,1963,61,Company - Public,,,$100 to $500 million (USD)
273,Data Scientist,91000,150000,3.2,"Metronome, LLC","Vienna, VA","Fairfax, VA",51 to 200 employees,2011,13,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
274,Data Scientist,91000,150000,5.0,SkillSoniq,"San Francisco, CA","Jersey City, NJ",,0,0,Company - Public,,,Unknown / Non-Applicable
275,Data Scientist,91000,150000,4.7,Lawrence Livermore National Lab,"Livermore, CA","Livermore, CA",1001 to 5000 employees,1952,72,Government,Federal Agencies,Government,$100 to $500 million (USD)
276,Diversity and Inclusion Data Analyst,91000,150000,3.8,FHLBank Pittsburgh,"Pittsburgh, PA","Pittsburgh, PA",201 to 500 employees,1932,92,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable
277,Data Scientist,91000,150000,3.6,Jacobs,"Herndon, VA","Dallas, TX",10000+ employees,1947,77,Company - Public,Architectural & Engineering Services,Business Services,Unknown / Non-Applicable
278,Data Scientist,91000,150000,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,12,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD)
